,0,1,2,3,4,5,6,7,8,9,10
165,152,10.11,1.3,Christopher BELCHER,29-Jan-94,USA,4,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",31-May-21,1169
166,152,10.11,0.2,Arthur CISSÉ,29-Dec-96,CIV,1,,"Stade des Grands Pêchers, Montreuil (FRA)",1-Jun-21,1169
167,152,10.11,0.9,Micah WILLIAMS,12-Nov-01,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",9-Jun-21,1169
168,152,10.11,0.4,Micah WILLIAMS,12-Nov-01,USA,3,,"Hayward Field, Eugene, OR (USA)",11-Jun-21,1169
169,152,10.11,1.2,Seye OGUNLEWE,30-Aug-91,NGR,3,,"Yabatech Sport Complex, Lagos (NGR)",17-Jun-21,1169
170,152,10.11,0.7,Christopher BELCHER,29-Jan-94,USA,4sf2,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1169
171,152,10.11,0.1,Zhiqiang WU,10-Apr-94,CHN,2,,Chongqing (CHN),24-Jun-21,1169
172,152,10.11,-0.2,Akani SIMBINE,21-Sep-93,RSA,1,,"Stadion Allmend, Luzern (SUI)",29-Jun-21,1170
173,172,10.12,1,Edward OSEI-NKETIA,8-May-01,NZL,2,,"QSAC, Nathan, Brisbane (AUS)",27-Mar-21,1165
174,172,10.12,2,Aaron BROWN,27-May-92,CAN,4h2,,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1165
175,172,10.12,1.4,Emmanuel MATADI,15-Apr-91,LBR,1f4,,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",17-Apr-21,1165
176,172,10.12,1.8,Paulo André CAMILO DE OLIVEIRA,20-Aug-98,BRA,1,,"Cougar Athletic Stadium, Azusa, CA (USA)",17-Apr-21,1165
177,172,10.12,2,Michael STEPHENS,19-Aug-00,JAM,5f1,,"Tropical Park Track, Miami, FL (USA)",24-Apr-21,1165
178,172,10.12,1,Chijindu UJAH,5-Mar-94,GBR,3h2,,"Hilmer Lodge Stadium, Walnut, CA (USA)",9-May-21,1165
179,172,10.12,0.3,Jaylen BACON,5-Aug-96,USA,2h2,,"Boston, MA (USA)",23-May-21,1165
180,172,10.12,1.6,Marcellus MOORE,30-Jun-02,USA,5h2,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",28-May-21,1165
181,172,10.12,1.6,Bryan HENDERSON,,USA,2h1,,"Cushing Stadium (Texas A&M), College Station, TX (USA)",29-May-21,1165
182,172,10.12,-0.7,Davonte BURNETT,27-Feb-00,USA,1h2,,"Cushing Stadium (Texas A&M), College Station, TX (USA)",29-May-21,1169
183,172,10.12,1.5,Andre EWERS,7-Jun-95,JAM,4f2,,"Ansin Sports Complex, Miramar, FL (USA)",5-Jun-21,1165
184,172,10.12,1,Emmanuel MATADI,15-Apr-91,LBR,1h1,,"Stadion Juliska, Praha (CZE)",7-Jun-21,1165
185,172,10.12,1.3,Davonte BURNETT,27-Feb-00,USA,1sf2,,"Hayward Field, Eugene, OR (USA)",9-Jun-21,1165
186,172,10.12,1.3,Jo'Vaughn MARTIN,,USA,1sf2,,"Hayward Field, Eugene, OR (USA)",9-Jun-21,1165
187,172,10.12,0.4,Jo'Vaughn MARTIN,,USA,4,,"Hayward Field, Eugene, OR (USA)",11-Jun-21,1165
188,172,10.12,1.7,Amaury GOLITIN,28-Jan-97,FRA,1,,"Parc des Sports C. Ehrmann, Nice (FRA)",12-Jun-21,1165
189,172,10.12,0.2,Ferdinand Omanyala OMURWA,3-Aug-96,KEN,1h1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",17-Jun-21,1165
190,172,10.12,2,Bryan HENDERSON,,USA,4h3,,"Hayward Field, Eugene, OR (USA)",19-Jun-21,1165
191,172,10.12,-0.4,Yoshihide KIRYU,15-Dec-95,JPN,1h7,,"Yanmar Stadium Nagai, Osaka (JPN)",24-Jun-21,1167
192,172,10.12,0.4,Aaron BROWN,27-May-92,CAN,1,,"Complexe Sportif Claude-Robillard, Montréal (CAN)",25-Jun-21,1165
193,192,10.13,1.9,Cravon GILLESPIE,31-Jul-96,USA,7f2,,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1162
194,192,10.13,2,Michael RODGERS,24-Apr-85,USA,5h2,,"Ansin Sports Complex, Miramar, FL (USA)",10-Apr-21,1162
