,0,1,2,3,4,5,6,7,8,9,10
178,173,10.01,+1.6,Jeff DEMPS,08 JAN 1990,USA,2qf1,,"Eugene, OR (USA)",28 JUN 2008,1203
179,173,10.01,+0.9,Jacoby FORD,27 JUL 1987,USA,1h2,,"Fayetteville, AR (USA)",10 JUN 2009,1203
180,173,10.01,+2.0,Antoine ADAMS,31 AUG 1988,SKN,1,,Basseterre (SKN),16 JUN 2013,1203
181,173,10.01,+2.0,Jason ROGERS,31 AUG 1991,SKN,2,,Basseterre (SKN),16 JUN 2013,1203
182,173,10.01,+1.7,Sean MCLEAN,23 MAR 1992,USA,4h2,,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1203
183,173,10.01,+1.1,Wilfried KOFFI HUA,12 OCT 1987,CIV,1f2,,"Tempe, AZ (USA)",09 APR 2016,1203
184,173,10.01,+1.9,Richard KILTY,02 SEP 1989,GBR,1sr,,Hexham (GBR),16 JUL 2016,1203
185,173,10.01,+1.8,Julian REUS,29 APR 1988,GER,1f2,,Mannheim (GER),29 JUL 2016,1203
186,173,10.01,+1.4,Gavin SMELLIE,26 JUN 1986,CAN,1,,Windsor (CAN),19 MAY 2018,1203
187,173,10.01,-0.7,Alonso EDWARD,08 DEC 1989,PAN,1,,Cochabamba (BOL),06 JUN 2018,1207
188,173,10.01,+0.2,Emile ERASMUS,03 APR 1992,RSA,2h1,,La Chaux-de-Fonds (SUI),01 JUL 2018,1203
189,173,10.01,+1.3,Devin QUINN,08 JUN 1996,USA,2sf2,,"Austin, TX (USA)",05 JUN 2019,1203
190,173,10.01,+1.3,Joseph Paul AMOAH,12 JAN 1997,GHA,2sf2,,"Austin, TX (USA)",05 JUN 2019,1203
191,173,10.01,+1.1,Waseem WILLIAMS,08 JAN 1997,JAM,1,,Queretaro (MEX),05 JUL 2019,1203
192,173,10.01,+1.1,Samson COLEBROOKE,10 MAY 1997,BAH,2,,Queretaro (MEX),05 JUL 2019,1203
193,173,10.01,+1.8,Emmanuel MATADI,15 APR 1991,LBR,2f1,,"Montverde, FL (USA)",06 JUL 2019,1203
194,173,10.01,+1.4,Ferdinand Omanyala OMURWA,03 AUG 1996,KEN,1h1,,"Yabatech Sport Complex, Lagos (NGR)",30 MAR 2021,1203
195,173,10.01,+2.0,Shuhei TADA,24 JUN 1996,JPN,2f1,,"Athletic Stadium, Tottori (JPN)",06 JUN 2021,1203
196,195,10.02,+2.0,Charlie GREENE,21 MAR 1945,USA,1qf4,,"Estadio Olímpico, Ciudad de México (MEX)",13 OCT 1968,1199
197,195,10.02,+1.0,James SANFORD,27 DEC 1957,USA,1,,"Westwood, CA (USA)",11 MAY 1980,1199
198,195,10.02,+1.2,Ronald DESRUELLES,14 FEB 1955,BEL,1,,Naimette-Xhovémont (BEL),11 MAY 1985,1199
199,195,10.02,+0.7,Daniel SANGOUMA,07 FEB 1965,FRA,2,,Villeneuve d'Ascq (FRA),29 JUN 1990,1199
200,195,10.02,+0.3,Jeff WILLIAMS,31 DEC 1965,USA,1h,,"Atlanta, GA (USA)",14 JUN 1996,1199
201,195,10.02,+1.7,Michael GREEN,07 NOV 1970,JAM,1,,"Knoxville, TN (USA)",10 APR 1997,1199
202,,,,,,,,,,,
203,195,10.02,+2.0,Nobuharu ASAHARA,21 JUN 1972,JPN,3,,Oslo (NOR),13 JUL 2001,1199
204,195,10.02,+1.8,Clement CAMPBELL,19 DEC 1975,JAM,2h2,,Zaragoza (ESP),28 JUL 2007,1199
205,195,10.02,+1.6,Leroy DIXON,20 JUN 1983,USA,4qf1,,"Eugene, OR (USA)",28 JUN 2008,1199
206,195,10.02,+1.4,Andrew RILEY,06 SEP 1988,JAM,2h2,,"Des Moines, IA (USA)",06 JUN 2012,1199
207,195,10.02,+1.9,Ramon GITTENS,20 JUL 1987,BAR,2f1,,"Montverde, FL (USA)",08 JUN 2013,1199
