,0,1,2,3,4,5,6,7,8,9,10
129,114,9.86,+2.0,Asafa POWELL,23 NOV 1982,JAM,1,,Budapest (HUN),30 JUL 2011,1255
130,114,9.86,+1.4,Keston BLEDMAN,08 MAR 1988,TTO,1f2,,Port-of-Spain (TTO),23 JUN 2012,1255
131,114,9.86,+1.8,Tyson GAY,09 AUG 1982,USA,2,,"Hayward Field, Eugene, OR (USA)",24 JUN 2012,1255
132,114,9.86,+1.1,Usain BOLT,21 AUG 1986,JAM,2,,Kingston (JAM),29 JUN 2012,1255
133,114,9.86,+0.3,Usain BOLT,21 AUG 1986,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1255
134,114,9.86,-0.4,Justin GATLIN,10 FEB 1982,USA,1,,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1257
135,114,9.86,+1.1,Keston BLEDMAN,08 MAR 1988,TTO,1f2,,Port-of-Spain (TTO),27 JUN 2015,1255
136,114,9.86,+1.3,Jimmy VICAUT,27 FEB 1992,FRA,2,,Paris (FRA),04 JUL 2015,1255
137,114,9.86,+0.9,Michael RODGERS,24 APR 1985,USA,2sf2,,"National Stadium, Beijing (CHN)",23 AUG 2015,1255
138,114,9.86,+1.8,Jimmy VICAUT,27 FEB 1992,FRA,1,,Montreuil-sous-Bois (FRA),07 JUN 2016,1255
139,114,9.86,+2.0,Trayvon BROMELL,10 JUL 1995,USA,1sf2,,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1255
140,114,9.86,+0.2,Usain BOLT,21 AUG 1986,JAM,1sf2,,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1255
141,114,9.86,+0.9,Noah LYLES,18 JUL 1997,USA,1,,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019,1255
142,114,9.86,+0.9,Christian COLEMAN,06 MAR 1996,USA,2,,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019,1255
143,114,9.86,+0.8,Divine ODUDURU,07 OCT 1996,NGR,1,,"Austin, TX (USA)",07 JUN 2019,1255
144,114,9.86,+1.6,Michael NORMAN,03 DEC 1997,USA,1f3,,"AP Ranch, Fort Worth, TX (USA)",20 JUL 2020,1255
145,114,9.86,+0.8,Fred KERLEY,07 MAY 1995,USA,3,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1255
146,145,9.87,+0.3,Linford CHRISTIE,02 APR 1960,GBR,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1252
147,145,9.87,+1.9,Frank FREDERICKS,02 OCT 1967,NAM,1,,Helsinki (FIN),25 JUN 1996,1252
148,145,9.87,+1.3,Ato BOLDON,30 DEC 1973,TTO,1qf1,,"Olympic Stadium, Athina (GRE)",02 AUG 1997,1252
149,145,9.87,-0.2,Obadele THOMPSON,30 MAR 1976,BAR,1,,"SGJ, Johannesburg (RSA)",11 SEP 1998,1253
150,145,9.87,+0.6,Maurice GREENE,23 JUL 1974,USA,1,,Stockholm (SWE),30 JUL 1999,1252
151,145,9.87,-0.3,Maurice GREENE,23 JUL 1974,USA,1,,"Olympic Stadium, Sydney (AUS)",23 SEP 2000,1253
152,145,9.87,+0.6,Maurice GREENE,23 JUL 1974,USA,3,,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1252
153,145,9.87,+0.2,Asafa POWELL,23 NOV 1982,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1252
154,145,9.87,+0.7,Asafa POWELL,23 NOV 1982,JAM,1,,"International Stadium, Gateshead (GBR)",31 AUG 2008,1252
155,145,9.87,+0.4,Asafa POWELL,23 NOV 1982,JAM,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",13 SEP 2008,1252
156,145,9.87,+0.4,Justin GATLIN,10 FEB 1982,USA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1252
